,precision,recall,f1-score,support
Apolo,1.0,1.0,1.0,34.0
Bailey,0.9411764705882353,1.0,0.9696969696969697,32.0
Bandit,0.9444444444444444,1.0,0.9714285714285714,34.0
Bella,1.0,1.0,1.0,32.0
Bella-Kappel,1.0,0.8787878787878788,0.9354838709677419,33.0
Bella-Theresa,1.0,0.8484848484848485,0.9180327868852458,33.0
Bu-chan,0.9166666666666666,1.0,0.9565217391304348,33.0
Chloe,1.0,1.0,1.0,32.0
Clara,1.0,0.8484848484848485,0.9180327868852458,33.0
Cody,1.0,1.0,1.0,32.0
Dakota,1.0,1.0,1.0,33.0
Dakota-CNC,1.0,1.0,1.0,31.0
Doris,1.0,0.9393939393939394,0.96875,33.0
Duke,0.9117647058823529,0.8857142857142857,0.8985507246376812,35.0
Eve,1.0,0.9393939393939394,0.96875,33.0
Gracie,0.7857142857142857,0.9705882352941176,0.8684210526315789,34.0
Injun,0.9705882352941176,1.0,0.9850746268656716,33.0
Kira,1.0,0.9032258064516129,0.9491525423728813,31.0
Landy,0.9705882352941176,1.0,0.9850746268656716,33.0
Lulu,1.0,1.0,1.0,33.0
Meeshka,0.9444444444444444,1.0,0.9714285714285714,34.0
Monty,0.9354838709677419,0.8529411764705882,0.8923076923076922,34.0
Newton,0.96875,1.0,0.9841269841269841,31.0
Nikita,0.9696969696969697,1.0,0.9846153846153847,32.0
Oliver,0.9705882352941176,1.0,0.9850746268656716,33.0
Peaches,0.9696969696969697,0.9142857142857143,0.9411764705882354,35.0
Perrete_1,0.9811320754716981,0.8524590163934426,0.912280701754386,61.0
Perrete_2,0.8481012658227848,1.0,0.9178082191780821,67.0
Princesa,1.0,1.0,1.0,32.0
Purcy,1.0,0.9411764705882353,0.9696969696969697,34.0
Rave,1.0,1.0,1.0,32.0
Rico,0.9411764705882353,0.9696969696969697,0.955223880597015,33.0
Ridley,0.9444444444444444,0.9444444444444444,0.9444444444444444,36.0
Roscoe,0.9428571428571428,1.0,0.9705882352941176,33.0
Skipper,1.0,1.0,1.0,32.0
Skye,1.0,0.9696969696969697,0.9846153846153847,33.0
Tala,0.8888888888888888,1.0,0.9411764705882353,32.0
Wilco,1.0,1.0,1.0,31.0
Winston,1.0,0.8787878787878788,0.9354838709677419,33.0
Yoda,0.8888888888888888,0.9142857142857143,0.9014084507042254,35.0
Zeus-Rekel,1.0,1.0,1.0,32.0
Zowie,1.0,1.0,1.0,34.0
accuracy,0.9612724757952974,0.9612724757952974,0.9612724757952974,0.9612724757952974
macro avg,0.9675022074034894,0.9631392413489388,0.9639149203843056,1446.0
weighted avg,0.9643928490948029,0.9612724757952974,0.961246375075112,1446.0
